id, Municipality Name, Event Name, Event Name_Kana, Event Name_English, Start Date, End Date, Start Time, End Time, Remarks, Event Details, Fee (Basic), Fee (Detailed), Contact Name, Contact Phone Number, Contact Extension Number, Organizer, Venue Name, Address, Directions, Latitude, Longitude, Access Method, Parking Information, Capacity, Application End Date, Application End Time, Application Method, URL, Category, District, Publication Date, Update Date
1,浜松市,行政相談委員による行政相談,,,2023-04-20,,9:00,12:00,,,,,中区区民生活課,(053)457-2121,,,中区役所,浜松市中区元城町103-2,,34.711085,137.726132,,,,,,"申込不要

当日、直接会場へ",https://www.soumu.go.jp/main_sosiki/hyouka/soudan_n/index.html,そうだん,中区,2022-03-28,2022-05-30
2,浜松市,行政相談委員による行政相談,,,2023-05-18,,9:00,12:00,,,,,中区区民生活課,(053)457-2121,,,中区役所,浜松市中区元城町103-2,,34.711085,137.726132,,,,,,"申込不要

当日、直接会場へ",https://www.soumu.go.jp/main_sosiki/hyouka/soudan_n/index.html,そうだん,中区,2022-04-28,2022-05-30
3,浜松市,浜松市ふれあい交流センター湖南の休館について(令和5年度),,,2023-04-01,,,,,【内容】大規模改修工事に伴い、令和5年4月1日から令和6年3月31日までの間、休館いたします。,,,西区長寿保険課,(053)597-1164,,,浜松市ふれあい交流センター湖南,浜松市西区馬郡町3805-1,,34.691979,137.62865,,,,,,申込不要,https://www.city.hamamatsu.shizuoka.jp/kourei/welfare/yuai/documents/konan.html,おしらせ,西区,2022-06-24,
4,浜松市,浜松市ふれあい交流センター江之島の休館について(令和5年度),,,2023-04-01,,,,,【内容】大規模改修工事に伴い、令和5年4月1日から令和6年3月31日までの間、休館いたします。,,,南区長寿保険課,(053)425-1542,,,浜松市ふれあい交流センター江之島,浜松市南区江之島町606,,34.666958,137.751839,,,,,,申込不要,https://www.city.hamamatsu.shizuoka.jp/kourei/welfare/yuai/documents/enosima.html,おしらせ,南区,2022-06-24,
5,浜松市,浜松市社会福祉事業団　職員募集,,,2023-04-01,,,,,【内容】支援員、相談員等を募集。詳細はホームページをご覧ください。,,,事務局,,,,浜松市発達医療総合福祉センター,浜松市浜北区高薗775-1,,34.777945,137.815343,,,若干名,,,"申込必要

【方法】窓口／郵送(　)",https://hamamatsu-social-welfare.org/,おしらせ,浜北区,2022-09-30,
6,浜松市,浜北文化センター本館・北館(市民ミュージアム浜北含む)の予約停止について,,,2023-04-01,,,,"【予約停止】令和5年4月1日(土)から

【利用停止期間】令和6年4月1日(月)から令和7年6月30日(月)までの予定",【内容】大・小ホールの天井改修工事を含めた大規模改修工事のため、利用停止期間に係る全施設の予約を停止します。,,,浜北区まちづくり推進課,(053)586-6201,,,浜松市浜北文化センター,浜松市浜北区貴布祢291-1,,34.794439,137.783274,,,,,,申込不要,https://www.hct.or.jp/facilities/hkb,おしらせ,浜北区,2022-09-30,
7,浜松市,もぐもぐ元気っこ教室,モグモグゲンキッコキョウシツ,,2202-12-01,,10:35,11:30,新型コロナ感染状況により、変更有,"【内容】離乳食完了に向けての食事の進め方や心と体の発育について

【対象】令和4年4、5月生まれの子どもの保護者",,,引佐健康センター,(053)542-0857,,,引佐健康センター,浜松市北区引佐町井伊谷616-5,,34.834554,137.670504,,,10人,,,"申込必要

【方法】ホームページ",https://www.hamamatsu-pippi.net/docs/2014022100172/,こそだて,北区,2022-09-30,2022-10-26
8,浜松市,企画展「おくり魅かれる風・音色〜バンドネオンの謎と真実〜」,キカクテン「オクリヒカレルカゼ・ネイロ〜バンドネオンノナゾトシンジツ〜」,,2023-01-14,2023-05-09,9:30,17:00,,【内容】バンドネオンにまつわる様々な謎と真実に迫ります。,,入館料のみ,浜松市楽器博物館,(053)451-1128,,公益財団法人 浜松市文化振興財団,浜松市楽器博物館,浜松市中区中央三丁目9-1,,34.706816,137.738256,,,,,,申込不要,https://www.gakkihaku.jp/,イベント,中区,,
9,浜松市,企画展「土に埋もれた浜松の原始・古代 」,キカクテン「ツチニウモレタハママツノゲンシ・コダイ」,,2023-01-07,2023-06-18,9:00,17:00,,【内容】近年の浜松市内の発掘調査出土品の中から、選りすぐりの逸品を各時代ごとに展示・紹介します。,,無料,地域遺産センター,(053)542-3660,,,浜松市地域遺産センター,浜松市北区引佐町井伊谷616-5,,34.834528,137.669707,『浜松駅』バスターミナル15番乗り場から遠鉄バス「?奥山行」に乗り、『神宮寺』停留所下車徒歩5分,,,,,申込不要,https://www.city.hamamatsu.shizuoka.jp/bunkazai/maibun/index.html,講座・教室,北区,,
10,浜松市,テーマ展「家康伝承と浜松」,テーマテン　イエヤスデンショウトハママツ,,2022-12-24,2023-09-24,9:00,17:00,,【内容】浜松市域に伝わる家康伝承について紹介する。,入館料(大人310円、高校生150円)中学生以下、70歳以上、障害者手帳をお持ちの方は無料,,浜松市博物館,(053)456-2208,,浜松市博物館,浜松市博物館,浜松市中区蜆塚四丁目22-1,,34.712637,137.70358,JR浜松駅北口バスターミナル2番から遠鉄バス「蜆塚・佐鳴台」行→「博物館」下車徒歩2分,,,,,申込不要,https://www.city.hamamatsu.shizuoka.jp/hamahaku/,イベント,中区,,
